Wed Oct 18 18:59:57 CST 2023,2+3,5.0
Wed Oct 18 19:01:39 CST 2023,(2+3)/5,1.0
Wed Oct 18 19:05:08 CST 2023,2+3,5.0
Wed Oct 18 19:07:31 CST 2023,2+4,6.0
Wed Oct 18 19:35:25 CST 2023,1&2,0.0
Wed Oct 18 19:44:23 CST 2023,1001&101,97.0
Wed Oct 18 19:45:47 CST 2023,~1,1.0
Wed Oct 18 19:45:58 CST 2023,1^0,1.0
Wed Oct 18 19:46:02 CST 2023,0^0,0.0
Wed Oct 18 19:46:35 CST 2023,~1,1.0
Wed Oct 18 19:46:40 CST 2023,~10,10.0
Wed Oct 18 19:49:13 CST 2023,3&2,2.0
Wed Oct 18 19:49:30 CST 2023,3|2,3.0
Wed Oct 18 19:49:30 CST 2023,3|2,3.0
Wed Oct 18 19:49:49 CST 2023,3^2,1.0
Wed Oct 18 19:50:09 CST 2023,~3,3.0
Wed Oct 18 19:57:20 CST 2023,~3,3.0
Wed Oct 18 19:57:33 CST 2023,~1,1.0
Wed Oct 18 20:00:00 CST 2023,~3,3.0
Wed Oct 18 20:00:55 CST 2023,3&2,2.0
Wed Oct 18 20:01:02 CST 2023,3|2,3.0
Wed Oct 18 20:01:10 CST 2023,3^2,1.0
Wed Oct 18 20:01:19 CST 2023,~3,3.0
Wed Oct 18 20:01:19 CST 2023,~3,3.0
Wed Oct 18 20:12:56 CST 2023,~5,5.0
Wed Oct 18 20:13:28 CST 2023,~3,3.0
Wed Oct 18 20:15:24 CST 2023,~3,3.0
Wed Oct 18 20:17:52 CST 2023,~3,3.0
Wed Oct 18 20:20:32 CST 2023,~3,3.0
Wed Oct 18 20:21:50 CST 2023,~3,3.0
Wed Oct 18 20:30:21 CST 2023,~3,-4.0
Wed Oct 18 20:30:28 CST 2023,~1,-2.0
Wed Oct 18 20:33:34 CST 2023,~100,-101.0
Wed Oct 18 20:35:13 CST 2023,1~1,-2.0
Wed Oct 18 20:36:25 CST 2023,4&5,4.0
Wed Oct 18 20:36:32 CST 2023,6&3,2.0
Wed Oct 18 20:36:32 CST 2023,6&3,2.0
Wed Oct 18 20:36:39 CST 2023,7|8,15.0
Wed Oct 18 20:48:20 CST 2023,2 ** 3,3.0
Wed Oct 18 20:48:52 CST 2023,3.5 + 1.5,5.0
Wed Oct 18 20:49:00 CST 2023, (5 - 2) * 4,-8.0
Wed Oct 18 20:50:02 CST 2023,10/2,5.0
Wed Oct 18 20:50:09 CST 2023,4*6,24.0
Wed Oct 18 20:50:17 CST 2023,10%3,1.0
Thu Oct 26 20:34:12 CST 2023,0&0,0.0
Thu Oct 26 20:34:26 CST 2023,1&1,1.0
Thu Oct 26 20:34:32 CST 2023,1&0,0.0
Thu Oct 26 20:34:40 CST 2023,0|0,0.0
Thu Oct 26 20:34:45 CST 2023,0|1,1.0
Thu Oct 26 20:34:52 CST 2023,1|0,1.0
Thu Oct 26 20:35:15 CST 2023,1^1,0.0
Thu Oct 26 21:01:28 CST 2023,9+9,18.0
Thu Oct 26 21:02:46 CST 2023,1+0,1.0
Thu Oct 26 21:07:06 CST 2023,~1,-2.0
Thu Oct 26 21:07:14 CST 2023,~0,-1.0
Thu Oct 26 21:07:51 CST 2023,(1+2)*2,4.0
Thu Oct 26 21:10:48 CST 2023,~1,-2.0
Thu Oct 26 21:21:39 CST 2023,1~,0.0
Thu Oct 26 21:21:43 CST 2023,~1,0.0
Thu Oct 26 21:21:46 CST 2023,0~,1.0
Thu Oct 26 21:22:16 CST 2023,(1+2)*2,6.0
Thu Oct 26 21:22:50 CST 2023,(1+2)*2-(2*6),-6.0
